FirstName	SecondName	Date
Altruist	Nice Answer	2021-12-04
Altruist	Nice Question	2021-12-04
Altruist	Quorum	2021-12-04
Altruist	Supporter	2021-12-04
Altruist	Teacher	2021-12-04
Announcer	Commentator	2021-12-03
Announcer	Critic	2021-12-03
Announcer	Custodian	2021-12-03
Announcer	Editor	2021-12-03
Announcer	Good Answer	2021-12-03
Announcer	Informed	2021-12-03
Announcer	Necromancer	2021-12-03
Announcer	Popular Question	2021-12-03
array	Benefactor	2021-11-30
array	Citizen Patrol	2021-11-30
array	Talkative	2021-11-30
ascii-art	Revival	2021-11-22
Autobiographer	Enthusiast	2021-12-05
Autobiographer	Notable Question	2021-12-05
Autobiographer	Yearling	2021-12-05
Benefactor	Citizen Patrol	2021-11-30
Benefactor	Talkative	2021-11-30
Booster	Lifejacket	2021-11-10
Booster	Peer Pressure	2021-11-10
Caucus	Constituent	2020-09-29
Citizen Patrol	Talkative	2021-11-30
Civic Duty	Excavator	2021-12-01
Civic Duty	fibonacci	2021-12-01
Civic Duty	Good Question	2021-12-01
Cleanup	Sportsmanship	2021-11-19
code-golf	cops-and-robbers	2021-12-02
code-golf	grid	2021-12-02
code-golf	Investor	2021-12-02
code-golf	Populist	2021-12-02
code-golf	Self-Learner	2021-12-02
code-golf	Student	2021-12-02
Commentator	Critic	2021-12-03
Commentator	Custodian	2021-12-03
Commentator	Editor	2021-12-03
Commentator	Good Answer	2021-12-03
Commentator	Informed	2021-12-03
Commentator	Necromancer	2021-12-03
Commentator	Popular Question	2021-12-03
cops-and-robbers	grid	2021-12-02
cops-and-robbers	Investor	2021-12-02
cops-and-robbers	Populist	2021-12-02
cops-and-robbers	Self-Learner	2021-12-02
cops-and-robbers	Student	2021-12-02
Critic	Custodian	2021-12-03
Critic	Editor	2021-12-03
Critic	Good Answer	2021-12-03
Critic	Informed	2021-12-03
Critic	Necromancer	2021-12-03
Critic	Popular Question	2021-12-03
Curious	Famous Question	2021-11-25
Curious	integer	2021-11-25
Curious	Promoter	2021-11-25
Custodian	Editor	2021-12-03
Custodian	Good Answer	2021-12-03
Custodian	Informed	2021-12-03
Custodian	Necromancer	2021-12-03
Custodian	Popular Question	2021-12-03
decision-problem	sequence	2021-11-17
Editor	Good Answer	2021-12-03
Editor	Informed	2021-12-03
Editor	Necromancer	2021-12-03
Editor	Popular Question	2021-12-03
Enlightened	math	2021-11-05
Enlightened	Outspoken	2021-11-05
Enthusiast	Notable Question	2021-12-05
Enthusiast	Yearling	2021-12-05
Excavator	fibonacci	2021-12-01
Excavator	Good Question	2021-12-01
Famous Question	integer	2021-11-25
Famous Question	Promoter	2021-11-25
Favorite Question	Organizer	2021-11-26
fibonacci	Good Question	2021-12-01
Good Answer	Informed	2021-12-03
Good Answer	Necromancer	2021-12-03
Good Answer	Popular Question	2021-12-03
Great Answer	Publicist	2021-10-29
Great Question	string	2021-11-01
grid	Investor	2021-12-02
grid	Populist	2021-12-02
grid	Self-Learner	2021-12-02
grid	Student	2021-12-02
Informed	Necromancer	2021-12-03
Informed	Popular Question	2021-12-03
integer	Promoter	2021-11-25
Investor	Populist	2021-12-02
Investor	Self-Learner	2021-12-02
Investor	Student	2021-12-02
Lifejacket	Peer Pressure	2021-11-10
math	Outspoken	2021-11-05
Necromancer	Popular Question	2021-12-03
Nice Answer	Nice Question	2021-12-04
Nice Answer	Quorum	2021-12-04
Nice Answer	Supporter	2021-12-04
Nice Answer	Teacher	2021-12-04
Nice Question	Quorum	2021-12-04
Nice Question	Supporter	2021-12-04
Nice Question	Teacher	2021-12-04
Notable Question	Yearling	2021-12-05
Populist	Self-Learner	2021-12-02
Populist	Student	2021-12-02
Quorum	Supporter	2021-12-04
Quorum	Teacher	2021-12-04
Scholar	Suffrage	2021-11-29
Self-Learner	Student	2021-12-02
Supporter	Teacher	2021-12-04
